,nameGiven,name_last,name_first,Yrs,From,To,W,L,Season_WL_PCT,Ties,G,Wpost,Lpost,Post_WL_PCT,BestFin,WrstFin,AvRk,PlayoffApp,WSwon,PennWon,ASG
292,Glenn Hoffman,Hoffman,Glenn,1,1998,1998,47,41,0.534,0,88,0,0,0.0,3,3,3.0,0,0,0,0
565,Larry Rothschild,Rothschild,Larry,4,1998,2001,205,294,0.411,0,499,0,0,0.0,5,5,5.0,0,0,0,0
399,Jerry Manuel,Manuel,Jerry,9,1998,2010,704,684,0.507,2,1390,0,3,0.0,1,4,2.5,1,0,0,0
151,Larry Dierker,Dierker,Larry,5,1997,2001,435,348,0.556,0,783,2,12,0.143,1,4,1.6,4,0,0,0
476,Tony Muser,Muser,Tony,6,1997,2002,317,431,0.424,0,748,0,0,0.0,3,5,4.1,0,0,0,0
199,Terry Francona,Francona,Terry,18,1997,2018,1574,1340,0.54,0,2914,40,29,0.58,1,5,2.5,9,2,3,2
534,Mel Queen,Queen,Mel,1,1997,1997,4,1,0.8,0,5,0,0,0.0,5,5,5.0,0,0,0,0
574,Bill Russell,Russell,Bill,3,1996,1998,173,149,0.537,0,322,0,3,0.0,2,3,2.2,1,0,0,0
47,John Boles,Boles,John,4,1996,2001,205,241,0.46,0,446,0,0,0.0,3,5,3.7,0,0,0,0
32,Buddy Bell,Bell,Buddy,9,1996,2007,519,724,0.418,0,1243,0,0,0.0,3,5,4.6,0,0,0,0
393,Joe Maddon,Maddon,Joe,15,1996,2018,1168,990,0.541,1,2159,32,35,0.478,1,5,2.6,8,1,2,2
345,Ray Knight,Knight,Ray,3,1996,2003,125,137,0.477,0,262,0,0,0.0,3,5,3.0,0,0,0,0
542,Phil Regan,Regan,Phil,1,1995,1995,71,73,0.493,0,144,0,0,0.0,3,3,3.0,0,0,0,0
35,Terry Bevington,Bevington,Terry,3,1995,1997,222,214,0.509,1,437,0,0,0.0,2,3,2.3,0,0,0,0
45,Bruce Bochy,Bochy,Bruce,24,1995,2018,1926,1944,0.498,0,3870,44,33,0.571,1,5,3.0,8,3,4,4
51,Bob Boone,Boone,Bob,6,1995,2003,371,444,0.455,0,815,0,0,0.0,2,5,4.1,0,0,0,0
320,Mike Jorgensen,Jorgensen,Mike,1,1995,1995,42,54,0.438,0,96,0,0,0.0,4,4,4.0,0,0,0,0
351,Marcel Lachemann,Lachemann,Marcel,3,1994,1996,161,170,0.486,0,331,0,0,0.0,2,4,3.1,0,0,0,0
109,Terry Collins,Collins,Terry,13,1994,2017,995,1017,0.495,0,2012,8,7,0.533,1,4,2.6,2,0,1,1
332,Kevin Kennedy,Kennedy,Kevin,4,1993,1996,309,273,0.531,0,582,0,3,0.0,1,3,1.8,1,0,0,0
19,Dusty Baker,Baker,Dusty,22,1993,2017,1863,1636,0.532,1,3500,23,32,0.418,1,6,2.5,9,0,1,1
31,Don Baylor,Baylor,Don,9,1993,2002,627,689,0.476,0,1316,1,3,0.25,2,6,3.9,1,0,0,0
510,Tony Perez HOF,Perez,Tony,2,1993,2001,74,84,0.468,0,158,0,0,0.0,4,5,4.3,0,0,0,0
215,Phil Garner,Garner,Phil,15,1992,2007,985,1054,0.483,1,2040,13,13,0.5,2,7,3.8,2,0,1,1
7,Felipe Alou,Alou,Felipe,14,1992,2006,1033,1021,0.503,1,2055,1,3,0.25,1,5,2.9,1,0,0,1
355,Gene Lamont,Lamont,Gene,8,1992,2000,553,562,0.496,1,1116,2,4,0.333,1,6,3.1,1,0,0,0
602,Buck Showalter,Showalter,Buck,20,1992,2018,1551,1517,0.506,1,3069,9,14,0.391,1,5,3.1,5,0,0,1
522,Bill Plummer,Plummer,Bill,1,1992,1992,64,98,0.395,0,162,0,0,0.0,7,7,7.0,0,0,0,0
289,Butch Hobson,Hobson,Butch,3,1992,1994,207,232,0.472,0,439,0,0,0.0,4,7,5.5,0,0,0,0
257,Toby Harrah,Harrah,Toby,1,1992,1992,32,44,0.421,0,76,0,0,0.0,4,4,4.0,0,0,0,0
550,Jim Riggleman,Riggleman,Jim,13,1992,2018,726,904,0.445,0,1630,0,3,0.0,2,7,4.5,1,0,0,0
581,Bob Schaefer,Schaefer,Bob,2,1991,2005,6,12,0.333,0,18,0,0,0.0,5,6,5.1,0,0,0,0
652,Gene Tenace,Tenace,Gene,1,1991,1991,19,14,0.576,0,33,0,0,0.0,1,1,1.0,0,0,0,0
134,Mike Cubbage,Cubbage,Mike,1,1991,1991,3,4,0.429,0,7,0,0,0.0,5,5,5.0,0,0,0,0
442,Hal McRae,McRae,Hal,6,1991,2002,399,473,0.458,0,872,0,0,0.0,3,6,4.5,0,0,0,0
496,Johnny Oates,Oates,Johnny,11,1991,2001,797,746,0.517,1,1544,1,9,0.1,1,6,2.7,3,0,0,0
175,Jim Essian,Essian,Jim,1,1991,1991,59,63,0.484,0,122,0,0,0.0,4,4,4.0,0,0,0,0
572,Tom Runnells,Runnells,Tom,2,1991,1992,68,81,0.456,0,149,0,0,0.0,2,6,5.0,0,0,0,0
256,Mike Hargrove,Hargrove,Mike,16,1991,2007,1188,1173,0.503,2,2363,27,25,0.519,1,7,3.1,5,0,2,2
549,Greg Riddoch,Riddoch,Greg,3,1990,1992,200,194,0.508,0,394,0,0,0.0,3,5,3.4,0,0,0,0
447,Stump Merrill,Merrill,Stump,2,1990,1991,120,155,0.436,0,275,0,0,0.0,5,7,5.8,0,0,0,0
259,Bud Harrelson,Harrelson,Bud,2,1990,1991,145,129,0.529,0,274,0,0,0.0,2,5,3.7,0,0,0,0
