playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,Debut_Year,Final_Year,retroID,bbrefID
johnsdo03,1926,11,12,USA,OR,Portland,2015,2,10,USA,OR,Portland,Don,Johnson,Donald Roy,200,75,R,R,1947,1958,johnd102,johnsdo03
nagyst01,1919,5,28,USA,NJ,Franklin,2016,7,24,USA,WA,Poulsbo,Steve,Nagy,Stephen,174,69,L,L,1947,1950,nagys101,nagyst01
parneme01,1922,6,13,USA,LA,New Orleans,2012,3,20,USA,LA,New Orleans,Mel,Parnell,Melvin Lloyd,180,72,L,L,1947,1956,parnm101,parneme01
schulmi01,1920,12,17,USA,NY,Syracuse,2004,8,2,USA,NY,East Syracuse,Mike,Schultz,William Michael,175,73,L,L,1947,1947,schum101,schulmi01
stalege01,1920,8,21,USA,WA,Brush Prairie,2008,1,2,USA,WA,Vancouver,Gerry,Staley,Gerald Lee,195,72,R,R,1947,1961,stalg103,stalege01
colemra01,1922,6,4,USA,CA,Dunsmuir,2010,9,18,USA,OK,Norman,Ray,Coleman,Raymond Leroy,170,71,L,R,1947,1952,coler102,colemra01
widmaal01,1925,3,20,USA,OH,Cleveland,2005,10,15,USA,OK,Tulsa,Al,Widmar,Albert Joseph,185,75,R,R,1947,1952,widma101,widmaal01
fineto01,1914,10,10,USA,TX,Cleburne,2005,1,10,USA,TX,Little Elm,Tommy,Fine,Thomas Morgan,180,72,B,R,1947,1950,finet101,fineto01
houkra01,1919,8,9,USA,KS,Lawrence,2010,7,21,USA,FL,Winter Haven,Ralph,Houk,Ralph George,193,71,R,R,1947,1954,houkr101,houkra01
cregebe01,1927,3,21,USA,VA,Wytheville,1997,11,30,USA,VA,Lynchburg,Bernie,Creger,Bernard Odell,175,72,R,R,1947,1947,cregb101,cregebe01
ardizru01,1919,11,20,Italy,Novara,Oleggio,2015,7,19,USA,CA,San Francisco,Rugger,Ardizoia,Rinaldo Joseph,180,71,R,R,1947,1947,ardir101,ardizru01
carysc01,1923,4,11,USA,IN,Kendallville,2011,2,28,USA,MI,Coldwater,Scott,Cary,Scott Russell,168,71,L,L,1947,1947,carys101,carysc01
gebripe01,1923,8,10,USA,NJ,Bayonne,2005,5,6,USA,FL,Stuart,Pete,Gebrian,Peter,170,72,R,R,1947,1947,gebrp101,gebripe01
howeldi02,1920,4,24,USA,KY,Louisville,1990,10,5,USA,NY,Binghamton,Dixie,Howell,Homer Elliott,190,71,R,R,1947,1956,howed102,howeldi02
beardge01,1920,9,5,USA,AR,Lexa,2004,3,18,USA,AL,Alexander City,Gene,Bearden,Henry Eugene,198,75,L,L,1947,1953,bearg102,beardge01
stephbr01,1920,7,14,USA,AR,Fayetteville,1991,11,21,USA,CA,Santa Ana,Bryan,Stephens,Bryan Maris,175,76,R,R,1947,1948,stepb103,stephbr01
brownwa01,1915,4,23,USA,NY,Jamestown,1991,2,3,USA,NY,Westfield,Walter,Brown,Walter Irving,175,71,R,R,1947,1947,broww103,brownwa01
albrija01,1921,6,30,USA,FL,St. Petersburg,1991,7,22,USA,CA,San Diego,Jack,Albright,Harold John,175,69,R,R,1947,1947,albrj101,albrija01
adamsdi01,1920,4,8,USA,CA,Tuolumne,2016,9,14,USA,CA,Fallbrook,Dick,Adams,Richard Leroy,185,72,R,L,1947,1947,adamd102,adamsdi01
auldsle01,1920,12,28,USA,LA,Farmerville,1999,10,13,USA,TX,Hondo,Tex,Aulds,Leycester Doyle,185,74,R,R,1947,1947,auldt101,auldsle01
curripe01,1928,9,27,USA,DC,Washington,2011,1,17,USA,TX,San Antonio,Perry,Currin,Perry Gilmore,175,72,L,R,1947,1947,currp101,curripe01
dobyla01,1923,12,13,USA,SC,Camden,2003,6,18,USA,NJ,Montclair,Larry,Doby,Lawrence Eugene,180,73,L,R,1947,1959,dobyl101,dobyla01
dentesa01,1922,4,26,USA,NJ,Harrison,2002,4,21,USA,NJ,Montclair,Sam,Dente,Samuel Joseph,175,71,R,R,1947,1955,dents101,dentesa01
swartbu01,1929,6,13,USA,OK,Tulsa,1991,6,24,USA,CA,Los Angeles,Bud,Swartz,Sherwin Merle,180,74,L,L,1947,1947,swarb101,swartbu01
brownwi02,1915,6,26,USA,LA,Shreveport,1996,8,4,USA,TX,Houston,Willard,Brown,Willard Jessie,200,71,R,R,1947,1947,broww101,brownwi02
clarkal01,1923,6,16,USA,NJ,South Amboy,2012,4,2,USA,NJ,Morgan,Allie,Clark,Alfred Aloysius,185,72,R,R,1947,1953,clara102,clarkal01
phillja02,1921,9,6,USA,NY,Clarence,2009,8,30,USA,MI,Chelsea,Jack,Phillips,Jack Dorn,193,76,R,R,1947,1957,philj101,phillja02
frazijo01,1922,10,6,USA,NC,Liberty,2011,2,15,USA,OK,Broken Arrow,Joe,Frazier,Joseph Filmore,180,72,L,R,1947,1956,frazj101,frazijo01
haugsph01,1924,2,23,USA,WI,Black River Falls,1998,10,21,USA,WI,Black River Falls,Phil,Haugstad,Philip Donald,165,74,R,R,1947,1952,haugp101,haugsph01
starrdi01,1921,3,2,USA,PA,Kittanning,2017,1,18,USA,PA,Kittanning,Dick,Starr,Richard Eugene,190,75,R,R,1947,1951,stard102,starrdi01
battsma01,1921,10,16,USA,TX,San Antonio,2013,7,14,USA,LA,Baton Rouge,Matt,Batts,Matthew Daniel,200,71,R,R,1947,1956,battm101,battsma01
castipe01,1921,2,13,USA,CT,Greenwich,2010,4,22,USA,FL,Pompano Beach,Pete,Castiglione,Peter Paul,175,71,R,R,1947,1954,castp102,castipe01
rosenal01,1924,2,29,USA,SC,Spartanburg,2015,3,13,USA,CA,Rancho Mirage,Al,Rosen,Albert Leonard,180,70,R,R,1947,1956,rosea101,rosenal01
dealco01,1923,1,23,USA,OK,Arapaho,2013,5,21,USA,OK,Oklahoma City,Cot,Deal,Ellis Ferguson,185,70,B,R,1947,1954,dealc101,dealco01
grother02,1922,5,3,USA,PA,Beaver Falls,2004,12,27,USA,PA,Beaver,Ernest,Groth,Ernest William,185,69,R,R,1947,1949,grote101,grother02
lindely01,1920,9,30,USA,WI,Rolling Prairie,1995,10,26,USA,WI,Beaver Dam,Lyman,Linde,Lyman Gilbert,185,71,R,R,1947,1948,lindl101,lindely01
rutnemi01,1919,3,18,USA,NY,Hempstead,2007,10,17,USA,TX,Georgetown,Mickey,Rutner,Milton,190,71,R,R,1947,1947,rutnm101,rutnemi01
doziebu01,1928,8,31,USA,TX,Waco,2005,11,24,USA,TX,Waco,Buzz,Dozier,William Joseph,185,75,R,R,1947,1949,dozib101,doziebu01
perkoha01,1922,9,6,USA,VA,Dante,2016,4,20,USA,WV,Beckley,Harry,Perkowski,Harry Walter,196,74,L,L,1947,1955,perkh101,perkoha01
spragho01,1920,11,9,USA,MS,Grenada,2002,12,10,USA,MS,Minter City,Homer,Spragins,Homer Franklin,190,73,R,R,1947,1947,sprah102,spragho01
lyonsed01,1923,5,12,USA,NC,Winston-Salem,2009,1,25,USA,NC,Winston-Salem,Ed,Lyons,Edward Hoyte,165,69,R,R,1947,1947,lyone101,lyonsed01
stobbch01,1929,7,2,USA,WV,Wheeling,2008,7,11,USA,FL,Sarasota,Chuck,Stobbs,Charles Klein,185,73,L,L,1947,1961,stobc101,stobbch01
